#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4
     589    0.255    0.552    0.194    0.000    0.000
     590    0.256    0.551    0.193    0.000    0.000
     591    0.257    0.550    0.193    0.000    0.000
     592    0.258    0.549    0.193    0.000    0.000
     593    0.260    0.548    0.192    0.000    0.000
     594    0.261    0.547    0.192    0.000    0.000
     595    0.262    0.546    0.192    0.000    0.000
     596    0.263    0.545    0.191    0.000    0.000
     597    0.265    0.544    0.191    0.000    0.000
     598    0.266    0.543    0.191    0.000    0.000
     599    0.267    0.543    0.190    0.000    0.000
     600    0.268    0.542    0.190    0.000    0.000
     601    0.270    0.541    0.190    0.000    0.000
