#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     228   12.723   -1.015   -5.233   -1.153    3.419   -3.683   -1.696   -3.828    1.242   -3.510
     229   12.073    1.123    0.256   -2.720    5.580   -0.499   -1.521    0.375   -0.967   -1.911
     230   11.712    1.999    3.547   -0.250    5.315  -10.284   -0.904    0.669   -5.241   -4.937
     231   15.354    2.004    3.690    3.106    1.399   -4.126   -3.654    0.664   -3.993    1.140
     232   13.335    3.961   -0.835   -1.919    4.558    0.200   -3.897    2.404    0.554    0.688
     233    9.356   -2.518   -3.722   -0.224    3.912   -2.105   -6.571    1.915   -1.126   -2.450
     234   13.509   -2.893   -2.698    4.404    0.425   -3.384   -7.690   -1.787   -1.137   -3.481
     235   18.560   -2.936   -4.715    5.200    2.341   -0.887   -5.151    0.903   -0.995    0.140
     236   16.425   -5.666   -3.651    4.638   -0.202   -1.470   -2.353    0.017    2.523    1.713
     237   14.031   -1.406    2.350    2.370    0.860   -8.137   -0.225    4.076   -2.148   -2.906
     238   12.870   -2.544    3.278    2.685    3.380   -6.343   -4.120    1.713   -3.153    0.582
     239   14.110   -3.392   -0.672    2.213    2.738   -3.451   -3.244   -0.338   -3.179   -2.174
     240   13.133   -1.207   -0.475    1.601    2.408   -0.286   -6.693    1.647   -0.933   -3.626
     241   14.635    0.036   -0.751    4.133    0.064   -2.166   -1.234    2.464   -5.072   -3.044
     242    7.662   -0.917   -3.352   -2.403    0.340    2.000   -0.945    1.409    0.242    1.669
     243    7.243    2.426    5.284   -2.528    3.692   -1.155   -1.237    3.169    0.076   -1.162
     244    9.788   -0.245   -1.511    0.179    2.242   -0.709    2.146    2.730   -1.008    1.725
     245   10.557    3.959   -2.022   -1.364    2.953    1.665    1.393    4.027   -3.471   -0.493
     246   13.717   -1.761   -9.055   -4.467    6.150    3.831   -0.306    1.447    2.146    2.024
     247   18.782    4.746   -3.367    1.791    3.290    3.590    2.882    0.738   -2.349    4.477
     248   20.729    0.774   -5.622   -1.196    3.803    1.809    1.140   -3.754    0.065    4.377
     249   17.978    2.124   -4.163   -0.059   -1.622   -0.192    4.951   -0.944   -2.535    3.356
     250   21.488   13.138   -3.854    1.664   -0.467    1.982    4.871    1.933   -3.129   -3.222
     251   18.465    0.753   -2.687    4.057   -1.309   -1.785    6.082    0.190    1.028   -3.314
     252   15.823    2.108   -0.685    1.101    1.594   -5.885    7.759    0.441    0.843   -0.148
